DomainID	PDB	SCOPID	SCOPClass	Length	Suprekingdom	TaxaID	TaxaName
d1a12a_	1a12	b.69.5.1	All beta	401	eukaryota	9606	Homo sapiens
d1a1xa_	1a1x	b.63.1.1	All beta	106	eukaryota	9606	Homo sapiens
d1a62a1	1a62	a.140.3.1	All alpha	47	bacteria	469008	Escherichia coli BL21(DE3)
d1a9xa1	1a9x	a.92.1.1	All alpha	153	bacteria	562	Escherichia coli
d1acoa1	1aco	c.8.2.1	Alpha and beta (a/b)	226	eukaryota	9913	Bos taurus
d1acoa2	1aco	c.83.1.1	Alpha and beta (a/b)	527	eukaryota	9913	Bos taurus
d1ad2a_	1ad2	e.24.1.1	Multi-domain proteins (alpha and beta)	224	bacteria	274	Thermus thermophilus
d1af7a1	1af7	a.58.1.1	All alpha	81	bacteria	90371	Salmonella enterica subsp. enterica serovar Typhimurium
d1ah7a_	1ah7	a.124.1.1	All alpha	245	bacteria	1396	Bacillus cereus
d1aiea_	1aie	a.53.1.1	All alpha	31	eukaryota	9606	Homo sapiens
d1aola_	1aol	b.20.1.1	All beta	227	viruses	11795	Friend murine leukemia virus
d1ayoa_	1ayo	b.1.29.1	All beta	130	eukaryota	9913	Bos taurus
d1b0na1	1b0n	a.34.1.1	All alpha	35	bacteria	1423	Bacillus subtilis
d1b25a1	1b25	a.110.1.1	All alpha	401	archaea	2261	Pyrococcus furiosus
d1b25a2	1b25	d.152.1.1	Alpha and beta (a+b)	210	archaea	2261	Pyrococcus furiosus
d1b33n_	1b33	d.30.1.1	Alpha and beta (a+b)	67	bacteria	83541	Mastigocladus laminosus
d1b79a_	1b79	a.81.1.1	All alpha	102	bacteria	562	Escherichia coli
d1bg1a1	1bg1	a.47.1.1	All alpha	177	eukaryota	10090	Mus musculus
d1bgfa_	1bgf	a.90.1.1	All alpha	124	eukaryota	10090	Mus musculus
d1bkra_	1bkr	a.40.1.1	All alpha	108	eukaryota	9606	Homo sapiens
d1bm8a_	1bm8	d.34.1.1	Alpha and beta (a+b)	99	eukaryota	4932	Saccharomyces cerevisiae
d1boua_	1bou	a.88.1.1	All alpha	132	bacteria	13689	Sphingomonas paucimobilis
d1boub_	1bou	c.56.6.1	Alpha and beta (a/b)	298	bacteria	13689	Sphingomonas paucimobilis
d1bx7a_	1bx7	g.3.15.1	Small proteins	51	eukaryota	6421	Hirudo medicinalis
d1bxya_	1bxy	d.59.1.1	Alpha and beta (a+b)	60	bacteria	274	Thermus thermophilus
d1byia_	1byi	c.37.1.10	Alpha and beta (a/b)	224	bacteria	562	Escherichia coli
d1c5ea_	1c5e	b.85.2.1	All beta	95	viruses	10710	Escherichia virus Lambda
d1cc8a_	1cc8	d.58.17.1	Alpha and beta (a+b)	72	eukaryota	4932	Saccharomyces cerevisiae
d1ccwb_	1ccw	c.1.19.2	Alpha and beta (a/b)	483	bacteria	1494	Clostridium cochlearium
d1cfza_	1cfz	c.56.1.1	Alpha and beta (a/b)	162	bacteria	562	Escherichia coli
d1chda_	1chd	c.40.1.1	Alpha and beta (a/b)	198	bacteria	99287	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2
d1ci4a_	1ci4	a.60.5.1	All alpha	89	eukaryota	9606	Homo sapiens
d1cipa1	1cip	a.66.1.1	All alpha	121	eukaryota	10116	Rattus norvegicus
d1ciya2	1ciy	b.77.2.1	All beta	206	bacteria	1428	Bacillus thuringiensis
d1ciya3	1ciy	f.1.3.1	Membrane and cell surface proteins and peptides	223	bacteria	1428	Bacillus thuringiensis
d1cq3a_	1cq3	b.27.1.1	All beta	224	viruses	10243	Cowpox virus
d1crua_	1cru	b.68.2.1	All beta	448	bacteria	471	Acinetobacter calcoaceticus
d1cuka1	1cuk	a.5.1.1	All alpha	48	bacteria	562	Escherichia coli
d1cxqa_	1cxq	c.55.3.2	Alpha and beta (a/b)	143	viruses	11876	Avian sarcoma virus
d1cy5a_	1cy5	a.77.1.3	All alpha	92	eukaryota	9606	Homo sapiens
d1d0qa_	1d0q	g.41.3.2	Small proteins	102	bacteria	1422	Geobacillus stearothermophilus
d1d3ya_	1d3y	e.12.1.1	Multi-domain proteins (alpha and beta)	289	archaea	2190	Methanocaldococcus jannaschii
d1dcea2	1dce	b.7.4.1	All beta	109	eukaryota	10116	Rattus norvegicus
d1dfup_	1dfu	b.53.1.1	All beta	94	bacteria	562	Escherichia coli
d1dj0a_	1dj0	d.265.1.1	Alpha and beta (a+b)	264	bacteria	562	Escherichia coli
d1dj8a_	1dj8	a.57.1.1	All alpha	79	bacteria	562	Escherichia coli
d1dk8a_	1dk8	a.91.1.1	All alpha	147	eukaryota	9606	Homo sapiens
d1dl5a2	1dl5	d.197.1.1	Alpha and beta (a+b)	104	bacteria	2336	Thermotoga maritima
d1ds1a_	1ds1	b.82.2.2	All beta	323	bacteria	1901	Streptomyces clavuligerus
d1dtdb_	1dtd	g.30.1.1	Small proteins	61	eukaryota	9606	Homo sapiens
d1dvoa_	1dvo	a.136.1.1	All alpha	152	bacteria	562	Escherichia coli
d1dwka2	1dwk	d.72.1.1	Alpha and beta (a+b)	70	bacteria	562	Escherichia coli
